Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,5:16:06 PM,EEM," 331,100 ", $43.13 ,1%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,11:09:12 AM,EEM," 293,141 ", $43.18 ,1%,DARK BLOCK,$12.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,1:22:24 PM,EEM," 250,000 ", $43.20 ,0%,BLOCK,$10.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,1:57:23 PM,EEM," 250,000 ", $43.18 ,0%,BLOCK,$10.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,11:00:49 AM,EEM," 225,000 ", $43.16 ,0%,BLOCK,$9.7M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,4:00:07 PM,EEM," 212,415 ", $43.13 ,0%,DARK BLOCK,$9.1M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,12:29:57 PM,EEM," 185,000 ", $43.21 ,0%,DARK BLOCK,$7.9M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,5:42:14 PM,EEM," 177,122 ", $43.13 ,0%,DARK AVGPRC,$7.6M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,10:12:10 AM,EEM," 150,000 ", $43.10 ,0%,DARK BLOCK,$6.4M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,10:16:40 AM,EEM," 150,000 ", $43.08 ,0%,DARK BLOCK,$6.4M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,10:16:46 AM,EEM," 150,000 ", $43.08 ,0%,DARK BLOCK,$6.4M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,5:42:15 PM,EFA," 745,378 ", $68.32 ,4%,DARK BLOCK,$50.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,5:17:02 PM,EFA," 509,000 ", $68.32 ,2%,DARK BLOCK,$34.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,10:01:05 AM,EFA," 470,000 ", $68.05 ,2%,BLOCK,$31.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,3:05:26 PM,EFA," 430,000 ", $68.24 ,2%,BLOCK,$29.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,9:55:15 AM,EFA," 405,000 ", $68.12 ,2%,BLOCK,$27.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,9:57:17 AM,EFA," 405,000 ", $68.12 ,2%,BLOCK,$27.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,12:50:06 PM,EFA," 340,000 ", $68.25 ,2%,BLOCK,$23.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,12:36:39 PM,EFA," 198,400 ", $68.24 ,1%,BLOCK,$13.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,2:36:25 PM,EFA," 150,000 ", $68.23 ,1%,DARK ISO,$10.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,3:07:34 PM,EFA," 150,000 ", $68.26 ,1%,DARK ISO,$10.0M,ETF/Fund,ETFs,Miscellaneous," 21,175,859 ",906,N/A
11/15/2019,12:17:28 PM,EMB," 145,712 ", $112.59 ,5%,DARK BLOCK,$16.0M,ETF/Fund,ETFs,Miscellaneous," 3,078,857 ",132,N/A
11/15/2019,12:30:06 PM,EMLC," 389,300 ", $33.31 ,23%,DARK ISOAADay,$12.0M,ETF/Fund,ETFs,Miscellaneous," 1,711,543 ",147,N/A
11/15/2019,10:44:30 AM,EMLC," 344,750 ", $33.26 ,20%,DARK BLOCK,$11.0M,ETF/Fund,ETFs,Miscellaneous," 1,711,543 ",147,N/A
11/15/2019,11:27:39 AM,EMLC," 287,700 ", $33.30 ,17%,DARK ISOAADay,$9.5M,ETF/Fund,ETFs,Miscellaneous," 1,711,543 ",147,N/A
11/15/2019,10:34:20 AM,EMLC," 236,863 ", $33.25 ,14%,DARK ISO,$7.8M,ETF/Fund,ETFs,Miscellaneous," 1,711,543 ",147,N/A
11/15/2019,4:08:15 PM,EWJ," 420,000 ", $59.70 ,6%,DARK AVGPRC,$25.0M,ETF/Fund,ETFs,Miscellaneous," 6,569,040 ",228,N/A
11/15/2019,10:48:59 AM,EWJ," 380,234 ", $59.68 ,6%,DARK BLOCK,$22.0M,ETF/Fund,ETFs,Miscellaneous," 6,569,040 ",228,N/A
11/15/2019,10:09:58 AM,EWT," 251,762 ", $39.69 ,7%,DARK ISOBB,$9.9M,ETF/Fund,ETFs,Miscellaneous," 3,708,695 ",80,N/A
11/15/2019,12:08:24 PM,EWT," 202,500 ", $39.81 ,5%,DARK ISOAA,$8.0M,ETF/Fund,ETFs,Miscellaneous," 3,708,695 ",80,N/A
